epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.1435,2.31305,2.25017,1.77507,0.25403,0.497,0.19582,0.08427,2.00802,3.02723,1.75591,0.000662698,0.000662698,0.000662698
2,80.2241,2.06938,1.8473,1.60651,0.66269,0.6109,0.64441,0.32765,1.79231,1.85665,1.59831,0.00129646,0.00129646,0.00129646
3,118.897,2.05592,1.80977,1.59871,0.53228,0.5406,0.45799,0.21764,1.86275,1.7274,1.70277,0.00189723,0.00189723,0.00189723
4,156.237,1.99484,1.7578,1.57536,0.7504,0.62915,0.70744,0.37582,1.74534,1.44408,1.55237,0.0018515,0.0018515,0.0018515
5,193.735,1.94909,1.68282,1.52652,0.73239,0.60253,0.69149,0.33564,1.85371,1.51305,1.57506,0.001802,0.001802,0.001802
6,231.072,1.90887,1.64895,1.5071,0.76504,0.67072,0.7409,0.38684,1.73729,1.32055,1.51855,0.0017525,0.0017525,0.0017525
7,268.629,1.86769,1.60161,1.48575,0.72153,0.65095,0.71362,0.38871,1.67984,1.38307,1.47856,0.001703,0.001703,0.001703
8,305.68,1.83966,1.52466,1.44789,0.77414,0.68363,0.75346,0.42734,1.66629,1.32647,1.46163,0.0016535,0.0016535,0.0016535
9,343.151,1.79945,1.49172,1.44076,0.7634,0.68223,0.75124,0.42121,1.69521,1.32623,1.49125,0.001604,0.001604,0.001604
10,380.504,1.78052,1.46224,1.41043,0.75301,0.67629,0.74315,0.43223,1.64052,1.31243,1.4228,0.0015545,0.0015545,0.0015545
11,418.231,1.77105,1.43766,1.4115,0.74746,0.71133,0.7534,0.40792,1.70636,1.31901,1.49197,0.001505,0.001505,0.001505
12,455.54,1.73815,1.40147,1.39828,0.78301,0.71117,0.78553,0.44335,1.68753,1.24002,1.45939,0.0014555,0.0014555,0.0014555
13,493.221,1.70457,1.34721,1.36192,0.78761,0.71133,0.77522,0.42016,1.77402,1.24483,1.4807,0.001406,0.001406,0.001406
14,530.361,1.68368,1.33332,1.36059,0.78063,0.70782,0.78734,0.46204,1.61766,1.2313,1.44171,0.0013565,0.0013565,0.0013565
15,567.77,1.63857,1.30342,1.34983,0.80183,0.73842,0.79649,0.48635,1.59115,1.20292,1.42485,0.001307,0.001307,0.001307
16,605.337,1.64709,1.28212,1.34705,0.82478,0.7188,0.80394,0.49836,1.57784,1.18458,1.41453,0.0012575,0.0012575,0.0012575
17,644.007,1.61123,1.26994,1.32527,0.81717,0.70147,0.78422,0.45303,1.70078,1.22791,1.45455,0.001208,0.001208,0.001208
18,681.328,1.61313,1.2513,1.32795,0.83492,0.75259,0.82889,0.51313,1.5733,1.09372,1.41279,0.0011585,0.0011585,0.0011585
19,718.679,1.59456,1.22099,1.31156,0.82779,0.71512,0.79397,0.46765,1.66173,1.21835,1.44309,0.001109,0.001109,0.001109
20,756.739,1.58456,1.21911,1.29654,0.83572,0.74573,0.81382,0.5186,1.55047,1.15879,1.39656,0.0010595,0.0010595,0.0010595
21,795.071,1.58783,1.21884,1.30649,0.84434,0.74197,0.8206,0.51207,1.54615,1.10349,1.40026,0.00101,0.00101,0.00101
22,833.411,1.54579,1.16939,1.29409,0.82754,0.71117,0.80182,0.50609,1.56299,1.19232,1.42811,0.0009605,0.0009605,0.0009605
23,876.558,1.5245,1.16642,1.27747,0.83634,0.76027,0.8295,0.53939,1.56411,1.10489,1.4339,0.000911,0.000911,0.000911
24,919.789,1.52578,1.14594,1.27694,0.87003,0.72316,0.82298,0.52697,1.54947,1.14199,1.41412,0.0008615,0.0008615,0.0008615
25,963.225,1.50364,1.12646,1.268,0.86084,0.75516,0.82395,0.54228,1.53823,1.12769,1.43327,0.000812,0.000812,0.000812
26,1006.83,1.50091,1.13645,1.26653,0.8481,0.72111,0.80666,0.52075,1.53397,1.13806,1.39204,0.0007625,0.0007625,0.0007625
27,1049.74,1.49169,1.11661,1.26856,0.85518,0.74605,0.82249,0.5428,1.52559,1.15704,1.4123,0.000713,0.000713,0.000713
28,1092.56,1.43092,1.06582,1.2257,0.84032,0.70027,0.78928,0.51381,1.56315,1.20481,1.41719,0.0006635,0.0006635,0.0006635
29,1136.16,1.45445,1.07697,1.23327,0.84474,0.78474,0.83438,0.54989,1.52966,1.09434,1.4108,0.000614,0.000614,0.000614
30,1179.88,1.42232,1.0375,1.22874,0.8643,0.72198,0.80962,0.54461,1.50726,1.15871,1.41172,0.0005645,0.0005645,0.0005645
31,1217.41,1.20219,0.74935,1.16423,0.87587,0.76137,0.84051,0.5683,1.51278,1.08474,1.4033,0.000515,0.000515,0.000515
32,1253.91,1.1711,0.72078,1.1411,0.86627,0.74986,0.82532,0.56332,1.52398,1.13726,1.42357,0.0004655,0.0004655,0.0004655
33,1290.33,1.14669,0.6887,1.13177,0.86954,0.71935,0.80612,0.54333,1.54569,1.16558,1.42128,0.000416,0.000416,0.000416
34,1326.9,1.12557,0.67822,1.12126,0.87094,0.76621,0.84142,0.57753,1.49681,1.0841,1.41513,0.0003665,0.0003665,0.0003665
35,1363.28,1.10344,0.66115,1.11055,0.87227,0.77777,0.84106,0.58436,1.48364,1.04042,1.42632,0.000317,0.000317,0.000317
36,1402.31,1.09302,0.65491,1.10786,0.8723,0.75041,0.82531,0.56902,1.50864,1.13212,1.42769,0.0002675,0.0002675,0.0002675
37,1438.47,1.07294,0.62716,1.08749,0.87193,0.76022,0.83425,0.58266,1.5002,1.12393,1.43037,0.000218,0.000218,0.000218
38,1474.58,1.05673,0.61721,1.08144,0.87897,0.77176,0.83901,0.58763,1.49845,1.10974,1.43665,0.0001685,0.0001685,0.0001685
39,1511.33,1.03521,0.61122,1.07501,0.87764,0.7673,0.83765,0.5871,1.49469,1.10324,1.43252,0.000119,0.000119,0.000119
