epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.4826,1.63746,1.25348,1.38811,0.65704,0.40163,0.43645,0.22418,2.07104,2.07706,1.78287,0.000662698,0.000662698,0.000662698
2,85.9867,1.83699,1.56818,1.51018,0.33081,0.42618,0.22285,0.09275,2.095,2.29918,1.70766,0.0012855,0.0012855,0.0012855
3,128.229,1.89166,1.64414,1.52589,0.61219,0.54986,0.57481,0.28675,1.83335,1.55041,1.50834,0.00186429,0.00186429,0.00186429
4,170.224,1.83393,1.57147,1.49856,0.65119,0.5782,0.61762,0.34136,1.74487,1.56936,1.55343,0.001802,0.001802,0.001802
5,210.865,1.77943,1.49557,1.46319,0.69196,0.61943,0.66767,0.35483,1.73853,1.388,1.48054,0.001736,0.001736,0.001736
6,251.492,1.75176,1.43274,1.44034,0.75369,0.65702,0.72994,0.40879,1.65638,1.31481,1.45707,0.00167,0.00167,0.00167
7,291.817,1.70556,1.39088,1.41902,0.748,0.67139,0.74075,0.42265,1.62834,1.278,1.42109,0.001604,0.001604,0.001604
8,333.016,1.69028,1.35596,1.39881,0.75627,0.66975,0.75134,0.45915,1.56532,1.22802,1.38332,0.001538,0.001538,0.001538
9,373.507,1.64305,1.30595,1.38743,0.73076,0.70572,0.73841,0.41296,1.62196,1.26769,1.40812,0.001472,0.001472,0.001472
10,414.913,1.61692,1.26318,1.37883,0.73613,0.66741,0.7348,0.42574,1.57599,1.23998,1.38621,0.001406,0.001406,0.001406
11,454.977,1.58027,1.22781,1.36105,0.76429,0.71743,0.77532,0.4555,1.58183,1.1693,1.38246,0.00134,0.00134,0.00134
12,495.325,1.55676,1.19001,1.34059,0.78769,0.7188,0.79413,0.49567,1.50385,1.14294,1.35995,0.001274,0.001274,0.001274
13,536.481,1.52604,1.1542,1.32276,0.8258,0.71281,0.79124,0.49119,1.5462,1.1509,1.36828,0.001208,0.001208,0.001208
14,576.438,1.51362,1.13548,1.32022,0.77806,0.7188,0.7991,0.50946,1.49228,1.11004,1.35652,0.001142,0.001142,0.001142
15,617.074,1.48644,1.10277,1.30383,0.79762,0.73896,0.80447,0.50358,1.48825,1.08203,1.33289,0.001076,0.001076,0.001076
16,657.04,1.46169,1.07742,1.28138,0.79271,0.74605,0.80588,0.52005,1.50672,1.10159,1.35384,0.00101,0.00101,0.00101
17,697.619,1.44726,1.04777,1.28364,0.8034,0.73489,0.80623,0.51746,1.49173,1.08826,1.36699,0.000944,0.000944,0.000944
18,739.546,1.4111,1.01412,1.26438,0.82781,0.77548,0.82832,0.54427,1.48263,1.0427,1.36493,0.000878,0.000878,0.000878
19,780.077,1.39322,0.9765,1.2474,0.84117,0.7504,0.82264,0.54323,1.46273,1.08504,1.36316,0.000812,0.000812,0.000812
20,820.4,1.36758,0.96009,1.243,0.81025,0.78423,0.83525,0.55284,1.47777,1.03053,1.35705,0.000746,0.000746,0.000746
21,862.143,1.35622,0.92714,1.22712,0.84435,0.77548,0.84325,0.57018,1.44036,0.99531,1.33043,0.00068,0.00068,0.00068
22,902.649,1.30673,0.89167,1.20541,0.86059,0.77373,0.84042,0.5736,1.42618,1.00628,1.32421,0.000614,0.000614,0.000614
23,943.159,1.29968,0.8703,1.19923,0.83932,0.77493,0.83349,0.55393,1.48514,1.04631,1.3749,0.000548,0.000548,0.000548
24,984.187,1.26104,0.83753,1.18814,0.87243,0.75095,0.84465,0.57983,1.44565,0.98951,1.34502,0.000482,0.000482,0.000482
25,1024.64,1.24485,0.82975,1.17412,0.88133,0.77305,0.84501,0.58259,1.43388,0.98875,1.34199,0.000416,0.000416,0.000416
26,1064.92,1.22041,0.79526,1.16611,0.84638,0.79264,0.85314,0.59249,1.41075,0.9654,1.32588,0.00035,0.00035,0.00035
27,1105.5,1.19507,0.7805,1.14559,0.87349,0.7842,0.85054,0.58767,1.45483,0.97316,1.3564,0.000284,0.000284,0.000284
28,1145.88,1.16841,0.74927,1.13762,0.86433,0.79019,0.85241,0.59798,1.41608,0.97706,1.34579,0.000218,0.000218,0.000218
29,1186.34,1.14205,0.72278,1.12958,0.8837,0.77929,0.84978,0.60051,1.40191,0.96381,1.33619,0.000152,0.000152,0.000152
30,1226.66,1.12782,0.71979,1.12613,0.87622,0.79085,0.85519,0.60808,1.39356,0.95306,1.33694,8.6e-05,8.6e-05,8.6e-05
