epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,390.299,1.80984,1.408,1.11515,0.80228,0.69867,0.7455,0.40367,1.56723,0.86147,1.04013,0.00066537,0.00066537,0.00066537
2,713.774,1.57914,0.82531,1.03121,0.83442,0.73223,0.78365,0.4416,1.47574,0.78667,1.0249,0.00130566,0.00130566,0.00130566
3,1035.79,1.54069,0.7934,1.02015,0.83061,0.75409,0.79587,0.44236,1.49495,0.78056,1.0282,0.00191955,0.00191955,0.00191955
4,1356.39,1.51569,0.77231,1.0124,0.84088,0.74687,0.80353,0.45792,1.45344,0.73996,1.01534,0.0018812,0.0018812,0.0018812
5,1674.02,1.49697,0.7497,1.00371,0.84532,0.76521,0.80817,0.4691,1.42667,0.7107,1.00985,0.0018416,0.0018416,0.0018416
6,1992.14,1.48812,0.74072,0.99979,0.85996,0.7707,0.82137,0.47964,1.40632,0.6985,0.99865,0.001802,0.001802,0.001802
7,2310.51,1.47139,0.72494,0.99708,0.8679,0.78158,0.83417,0.48598,1.40474,0.69158,0.99451,0.0017624,0.0017624,0.0017624
8,2626.89,1.45914,0.71361,0.99242,0.86762,0.78115,0.8343,0.49257,1.39392,0.67523,0.99086,0.0017228,0.0017228,0.0017228
9,2941.81,1.45162,0.7073,0.98834,0.87096,0.79514,0.84466,0.49792,1.38717,0.65698,0.99187,0.0016832,0.0016832,0.0016832
10,3258.7,1.44837,0.70225,0.9869,0.87892,0.79045,0.83909,0.49606,1.38676,0.65753,0.99136,0.0016436,0.0016436,0.0016436
11,3575.66,1.44305,0.6949,0.98527,0.87666,0.79943,0.84023,0.50047,1.38112,0.65004,0.98806,0.001604,0.001604,0.001604
12,3892.37,1.43429,0.68845,0.98159,0.87792,0.80483,0.85194,0.50897,1.36932,0.64601,0.97958,0.0015644,0.0015644,0.0015644
13,4207.94,1.42404,0.67942,0.97923,0.88233,0.79807,0.85033,0.50824,1.36635,0.64467,0.98072,0.0015248,0.0015248,0.0015248
14,4523.21,1.43087,0.68162,0.97991,0.88376,0.80527,0.85109,0.51006,1.36174,0.63672,0.97857,0.0014852,0.0014852,0.0014852
15,4840.01,1.41749,0.67379,0.97787,0.88088,0.80688,0.85321,0.51011,1.36632,0.64025,0.98016,0.0014456,0.0014456,0.0014456
16,5154.62,1.41833,0.67392,0.97712,0.88368,0.80979,0.85427,0.51221,1.36011,0.63155,0.9799,0.001406,0.001406,0.001406
17,5471.43,1.41751,0.67127,0.97656,0.88599,0.80658,0.85299,0.51232,1.36,0.62954,0.97999,0.0013664,0.0013664,0.0013664
18,5789.08,1.41249,0.66648,0.97503,0.88721,0.80874,0.8618,0.51767,1.3517,0.62443,0.97453,0.0013268,0.0013268,0.0013268
19,6106.19,1.41106,0.66416,0.97415,0.88799,0.80932,0.86258,0.51835,1.35454,0.62353,0.97569,0.0012872,0.0012872,0.0012872
